"Politician","Social activist","Entertainers","Religious ","sports","Education"
"@JahangirKTareen","@mbpuskar","@twilitekid","@muftimenk","@gradecricketer","@EduMinistryPK"
"@marty_walsh","@M_Lekhi","@AliZafarsays","@MehboobaMufti","@CricketersTrust","@AWS_Edu"
"@RepAndyKimNJ","@TheNewSchool","@kingssingers","@islahmufti","@Heatherknight55","@moe_gov_sa"
"@JohnFetterman","@varusarath5","@BBCSingers","@Mufti_Yasir","@KevinOBrien113","@usedgov"
"@wendydavis","@beccafrica","@MaskedSingerFOX","@ifrahmufti","@poonam_yadav24","@PhCHED"
"@AllenWest","@jsshunty","@yunamusic","@Prof_Mufti","@WolfgangYoung","@Shafqat_Mahmood"
"@Jim_Jordan","@ashokepandit","@iamjojo","@MuftishakoorJUIReligious","@MHasnainPak","@chronicle"
"@alancampbellmp","@iamvijayvasanth","@rmayemsinger","@TariqJamilOFCL","@CBarrett19","@educationgovuk"
"@RepJoeCourtney","@MominaMustehsan","@thecavesingers","@DrBilalPhilips","@nicholas_47","@GPforEducation"
"@BobbyScott","@frankshamrock","@singervehicles","@YasirQadhi","@GautamGambhir","@timeshighered"
"@RepMcGovern","@Amitjanhit","@maskedsinger_au","@WahiduddinKhan","@ImRaina","@PlayCraftLearn"
"@RepDwightEvans","@aisamhqureshi","@SINGERCO","@GlobalMedia_","@harbhajan_singh","@teainfo"
"@RepBillJohnson","@Aariarujunan","@corneillemusic",,"@VVSLaxman281","@StanfordEd"
"@Geoffrey_Cox","@GAMIR_INC","@croon1",,"@ivivianrichards","@IOE_London"
"@GovBillLee","@zubeengarg1","@MaskedSingerUK",,"@hardikpandya7","@ACEducation"
"@AlanBrownSNP","@ronnihawk","@RealAlexPreston",,"@klrahul11","@NYSEDNews"
"@AnthonyChisholm","@DollyBindra","@TomMarshall111",,"@therealkapildev","@EdLaborCmte"
"@LaurieScottPC","@jsshunty","@Bsinger51",,"@KumarSanga2","@MdPublicSchools"
"@BrianMitchellMP","@ashokepandit","@yunamusic",,"@benstokes38","@DepEd_PH"
"@GrahamSMSP","@iamvijayvasanth","@iamjojo",,"@MishiAmit","@Shafqat_Mahmood"
"@KentKSmith","@MominaMustehsan","@rmayemsinger",,"@BhuviOfficial","@chronicle"
"@jtaylorcongress","@frankshamrock","@thecavesingers",,"@ImIshant","@educationgovuk"
"@JNicholsonMEP","@Amitjanhit","@singervehicles",,"@DavidMillerSA12","@GPforEducation"
"@AShevch","@aisamhqureshi","@maskedsinger_au",,"@imkuldeep18","@timeshighered"
"@sambitswaraj","@Aariarujunan","@SINGERCO",,"@SarfarazA_54","@PlayCraftLearn"
"@msisodia","@GAMIR_INC","@corneillemusic",,"@JadhavKedar","@teainfo"
"@RepChrisGibson","@zubeengarg1","@croon1",,"@yuzi_chahal","@StanfordEd"
"@DeleMomodu","@ronnihawk","@MaskedSingerUK",,"@y_umesh","@IOE_London"
"@ManojTiwariMP","@DollyBindra","@RealAlexPreston",,"@ajinkyarahane88","@ACEducation"
"@ShatruganSinha","@TracyEdwardsMBE","@TomMarshall111",,"@surya_14kumar","@NYSEDNews"
"@RepFleming","@KVishReddy","@Bsinger51",,"@klrahul11","@EdLaborCmte"
"@JayGalla","@abhasinghlawyer","@singer_shaan",,"@therealkapildev","@MdPublicSchools"
"@saurik","@bhanujalan","@AlusOfficial",,"@KumarSanga2","@DepEd_PH"
"@MikeSonko","@spencer2thewest","@TeniEntertainer",,"@benstokes38","@educationweek"
"@devduttmyth","@TheRevAl","@BennysMusic",,"@MishiAmit","@EF"
"@aapkadharam","@governeye","@IamChrisMann",,"@BhuviOfficial","@NEAToday"
"@NuhuRibadu","@AsmaAzam71","@TheUSASingers",,"@ImIshant","@UNGEI"
"@sayantika12","@DavidSable","@RichardWalters",,"@DavidMillerSA12","@NSWEducation"
"@MarthaKarua","@vikramsahney","@singersrinivas",,"@imkuldeep18","@CommonsEd"
"@repjohnkline","@thirunangai","@mikenolanfizz",,"@SarfarazA_54","@NYCSchools"
"@MohamedMOSalih","@jiten_jain","@robbieglover",,"@JadhavKedar","@feeonline"
"@vkaramurza","@munnebharti","@camronmitchell",,"@yuzi_chahal","@edreform"
"@calxandr","@_JasvirSingh","@VedoTheSinger",,"@y_umesh","@DBE_SA"
"@SecPriceMD","@AmeeYajnik","@Average_Jonas",,"@ajinkyarahane88","@UNESCO"
"@JuliaLopezMP","@kh_lorena","@singernews",,"@surya_14kumar","@NEUnion"
"@M_Ignatieff","@theCCR","@Sukhbir_Singer",,"@AaronFinch5","@WA_Edu_News"
"@realsarathkumar","@vikramsahney","@ramonasinger",,"@DineshKarthik","@EdNCES"
"@NuhuRibadu","@thirunangai","@AdamSinger",,"@StuartBroad8","@OHEducation"
"@sayantika12","@jiten_jain","@mikenolanfizz",,"@ShubmanGill","@pearson"
"@MarthaKarua","@munnebharti","@robbieglover",,"@imShard","@NYCSchools"
"@repjohnkline","@_JasvirSingh","@camronmitchell",,"@cheteshwar1","@feeonline"
"@MohamedMOSalih","@AmeeYajnik","@VedoTheSinger",,"@mandeeps12","@edreform"
"@vkaramurza","@kh_lorena","@Average_Jonas",,"@Eoin16","@DBE_SA"
