"social activist","politician"
"@mbpuskar","@JahangirKTareen"
"@M_Lekhi",
"@TheNewSchool","@marty_walsh"
"@varusarath5","@RepAndyKimNJ"
"@beccafrica","@JohnFetterman"
"@jsshunty","@wendydavis"
"@ashokepandit","@AllenWest"
"@iamvijayvasanth","@Jim_Jordan"
"@MominaMustehsan","@alancampbellmp"
"@frankshamrock","@RepJoeCourtney"
"@Amitjanhit","@BobbyScott"
"@aisamhqureshi","@RepMcGovern"
"@Aariarujunan","@RepDwightEvans"
"@GAMIR_INC","@RepBillJohnson"
"@zubeengarg1","@Geoffrey_Cox"
"@ronnihawk","@GovBillLee"
"@DollyBindra","@AlanBrownSNP"
"@jsshunty","@therealsupes"
"@ashokepandit","@MianThCockRoach"
"@iamvijayvasanth","@faseehahmad00"
"@MominaMustehsan",
"@frankshamrock",
"@Amitjanhit",
"@aisamhqureshi",
"@Aariarujunan",
"@GAMIR_INC",
"@zubeengarg1",
"@ronnihawk",
"@DollyBindra",
"@TracyEdwardsMBE",
"@KVishReddy",
"@abhasinghlawyer",
"@bhanujalan",
"@spencer2thewest",
"@TheRevAl",
"@governeye",
"@AsmaAzam71",
"@DavidSable",
"@vikramsahney",
"@thirunangai",
"@jiten_jain",
"@munnebharti",
"@_JasvirSingh",
"@AmeeYajnik",
"@kh_lorena",
"@theCCR",
"@vikramsahney",
"@thirunangai",
"@jiten_jain",
"@munnebharti",
"@_JasvirSingh",
"@AmeeYajnik",
"@kh_lorena",
"@theCCR",
"@F1abraham",
"@anujakapurindia",
"@bora_debashree",
"@OshalaHerath",
"@UjjawalModi_",
"@sarifarahman5",
"@JulieKotsis",
"@SSingh_odisha",
"@comradephils",
"@adireddyfantasy",
"@nishant53714061",
"@jury_sharma",
"@thedigitalpahdi",
"@activistjyot",
"@RamkumarvermaMP",
"@setumostone",
"@ShumbaGong",
"@imchandanRay",
"@plogmanofindia",
"@actornepoleon",
"@fmir_official",
"@thedigitalpahdi",
"@activistjyot",
"@RamkumarvermaMP",
"@setumostone",
"@ShumbaGong",
"@imchandanRay",
"@plogmanofindia",
"@actornepoleon",
"@fmir_official",
"@SQMasood",
"@abhijitsapkal1",
"@Farah_Gazan",
"@MirAijaz89",
"@ShelBailey",
"@jamesocromwell",
"@jothims",
"@octavianasr",
"@HardikPatel_",
"@ChangeAgentSA",
"@ThuliMadonsela3",
"@Arslan_Sadiq",
"@cliff_notes",
"@GraceOSllvn",
"@tonyocruz",
"@HarshBisaria",
"@NyanzaMoore",
"@AownMShah",
"@SusanWTurnbull",
"@Arslan_Sadiq",
"@cliff_notes",
"@GraceOSllvn",
"@tonyocruz",
"@HarshBisaria",
"@NyanzaMoore",
"@AownMShah",
"@SusanWTurnbull",
"@neuroayush",
"@SociallyBlog",
"@Marianne1Farley",
"@AngieForNe",
"@SocialKrista",
"@NirajPandeyLive",
"@yadavteju",
"@SundarrajanG",
"@Prksh_Ambedkar",
"@ThamizhachiTh",
"@KunalGhoshAgain",
"@yadavmamta11",
"@Kush_voice",
"@Tahani_alhajri",
"@KuldeepKadyan",
"@PMKAdvocateBalu",
"@HaripalRawat1",
"@MianAslam_",
"@BalkaurDhillon",
"@AniketDhanuk_",
"@RamNiwasGoelAap",
"@yadavmamta11",
"@Kush_voice",
"@Tahani_alhajri",
"@KuldeepKadyan",
"@PMKAdvocateBalu",
"@HaripalRawat1",
"@MianAslam_",
"@BalkaurDhillon",
"@AniketDhanuk_",
"@RamNiwasGoelAap",
"@pakshalikasingh",
"@YaminiYJadhav",
"@sanjaysinghjdu",
"@VirendraNehra9",
"@SarveshSays",
"@JoonBhupinder",
"@KingofMarco",
"@IndGreenParty",
"@MoremiAfrica",
"@AliFenwick",
"@LaljiDesaiG",
"@EmmanuelFaber",
"@HindAleryani",
"@Lobnene_Blog",
"@SChaudharyINC",
"@saragusti",
"@himmatsinghgur1",
"@Kummanam",
"@m9po_41",
"@LaljiDesaiG",
"@EmmanuelFaber",
"@HindAleryani",
"@Lobnene_Blog",
"@SChaudharyINC",
"@saragusti",
"@himmatsinghgur1",
"@Kummanam",
"@m9po_41",
"@MabelvanOranje",
"@zeeshanwaheed43",
"@ErinSchrode",
"@MalvikaIyer",
"@JamiraBurley",
"@dalitdiva",
"@Afine",
"@yodifiji",
"@lifeofmshaba",
"@ealsaegh",
"@dmcrawford",
"@GurratanSingh",
"@Elmessidi",
"@SameeraAziz",
"@jenlutaiwan",
"@SunnyMehtaINC",
"@KristiCornettTN",
"@sunnynsuijk",
"@traceyram",
"@actvstArchitect",
"@Elmessidi",
"@SameeraAziz",
"@jenlutaiwan",
"@SunnyMehtaINC",
"@KristiCornettTN",
"@sunnynsuijk",
"@traceyram",
"@actvstArchitect",
"@DericoSymonds",
"@iarsuaga",
"@LalanKumarINC",
"@gba_mm",
"@firoztylor",
"@ErinForUs",
"@Elmessidi",
"@SameeraAziz",
"@jenlutaiwan",
"@SunnyMehtaINC",
"@KristiCornettTN",
"@sunnynsuijk",
"@traceyram",
"@actvstArchitect",
"@DericoSymonds",
"@iarsuaga",
"@LalanKumarINC",
"@gba_mm",
"@firoztylor",
"@ErinForUs",
"@Elmessidi",
"@SameeraAziz",
"@jenlutaiwan",
"@SunnyMehtaINC",
"@KristiCornettTN",
"@sunnynsuijk",
"@traceyram",
"@actvstArchitect",
"@DericoSymonds",
"@iarsuaga",
"@LalanKumarINC",
"@gba_mm",
"@firoztylor",
"@ErinForUs",
